INSTANCE_ID,MEDIAN_MEASURED_RUNLENGTH,MEDIAN_MEASURED_RUNTIME,MEDIAN_COMPUTED_RUNTIME,capped,Solution,NOISE,RANDOM_WALK_PROB,nvars,nclauses,vars_clauses_ratio,VCG_VAR_min,VCG_VAR_max,VCG_VAR_entropy,VCG_CLAUSE_mean,VCG_CLAUSE_coeff_variation,VCG_CLAUSE_max,VCG_CLAUSE_entropy,POSNEG_RATIO_CLAUSE_mean,POSNEG_RATIO_VAR_stdev,POSNEG_RATIO_VAR_max,BINARY_PLUS,TRINARY_PLUS,HORNY_VAR_coeff_variation,HORNY_VAR_min,HORNY_VAR_max,HORNY_VAR_entropy,horn_clauses_fraction,VG_mean,VG_coeff_variation,VG_min,vars_reduced_depth_4,vars_reduced_depth_16,vars_reduced_depth_64,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_BestStep_Mean,saps_BestStep_CoeffVariance,saps_AvgImproveToBest_Mean,saps_AvgImproveToBest_CoeffVariance,saps_FirstLMRatio_Mean,saps_FirstLMRatio_CoeffVariance,saps_BestCV_Mean,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_BestStep_Mean,gsat_BestStep_CoeffVariance,gsat_AvgImproveToBest_CoeffVariance,gsat_BestCV_Mean,lobjois_mean_depth_over_vars,lobjois_log_num_nodes_over_vars
5150841,1.48854e+09,900.005,964.661,0,1,10.0000,0.010000,450,1912,0.235355649,0.00156903766,0.0125523013,2.64813736,0.00666666667,0,0.00666666667,0,0.498256625,0.187570269,1,0,1,0.392530516,0.000523012552,0.00732217573,2.30806497,0.499476987,0.0129404928,0.271311777,0.00313807531,0,0.0111111111,0.16,14.4228,0.307452188,249.7217,0.220527882,0.937713867,0.205837764,0.856993918,0.0365601868,0.33532732,12.0197,0.278437442,722.3287,0.348746425,0.373499318,0.375582759,0.322547704,0.566847674
5150841,8.70731e+08,539.96,548.668,0,1,20.0000,0.010000,450,1912,0.235355649,0.00156903766,0.0125523013,2.64813736,0.00666666667,0,0.00666666667,0,0.498256625,0.187570269,1,0,1,0.392530516,0.000523012552,0.00732217573,2.30806497,0.499476987,0.0129404928,0.271311777,0.00313807531,0,0.0111111111,0.16,14.4228,0.307452188,249.7217,0.220527882,0.937713867,0.205837764,0.856993918,0.0365601868,0.33532732,12.0197,0.278437442,722.3287,0.348746425,0.373499318,0.375582759,0.322547704,0.566847674
5150841,1.31537e+08,83.85,89.4288,0,1,30.0000,0.010000,450,1912,0.235355649,0.00156903766,0.0125523013,2.64813736,0.00666666667,0,0.00666666667,0,0.498256625,0.187570269,1,0,1,0.392530516,0.000523012552,0.00732217573,2.30806497,0.499476987,0.0129404928,0.271311777,0.00313807531,0,0.0111111111,0.16,14.4228,0.307452188,249.7217,0.220527882,0.937713867,0.205837764,0.856993918,0.0365601868,0.33532732,12.0197,0.278437442,722.3287,0.348746425,0.373499318,0.375582759,0.322547704,0.566847674
5150841,9.86822e+06,6.735,6.77888,0,1,40.0000,0.010000,450,1912,0.235355649,0.00156903766,0.0125523013,2.64813736,0.00666666667,0,0.00666666667,0,0.498256625,0.187570269,1,0,1,0.392530516,0.000523012552,0.00732217573,2.30806497,0.499476987,0.0129404928,0.271311777,0.00313807531,0,0.0111111111,0.16,14.4228,0.307452188,249.7217,0.220527882,0.937713867,0.205837764,0.856993918,0.0365601868,0.33532732,12.0197,0.278437442,722.3287,0.348746425,0.373499318,0.375582759,0.322547704,0.566847674
5150841,1.81182e+06,1.35,1.33546,0,1,50.0000,0.010000,450,1912,0.235355649,0.00156903766,0.0125523013,2.64813736,0.00666666667,0,0.00666666667,0,0.498256625,0.187570269,1,0,1,0.392530516,0.000523012552,0.00732217573,2.30806497,0.499476987,0.0129404928,0.271311777,0.00313807531,0,0.0111111111,0.16,14.4228,0.307452188,249.7217,0.220527882,0.937713867,0.205837764,0.856993918,0.0365601868,0.33532732,12.0197,0.278437442,722.3287,0.348746425,0.373499318,0.375582759,0.322547704,0.566847674
5150841,3.62941e+06,2.88,2.8361,0,1,60.0000,0.010000,450,1912,0.235355649,0.00156903766,0.0125523013,2.64813736,0.00666666667,0,0.00666666667,0,0.498256625,0.187570269,1,0,1,0.392530516,0.000523012552,0.00732217573,2.30806497,0.499476987,0.0129404928,0.271311777,0.00313807531,0,0.0111111111,0.16,14.4228,0.307452188,249.7217,0.220527882,0.937713867,0.205837764,0.856993918,0.0365601868,0.33532732,12.0197,0.278437442,722.3287,0.348746425,0.373499318,0.375582759,0.322547704,0.566847674
5149233,6.18899e+07,462.18,471.805,0,1,10.0000,0.010000,140,6202,0.0225733634,0.0372460497,0.0501451145,3.81451117,0.0428571429,0,0.0428571429,0,0.30785768,0.0385705365,0.186046512,0,0,0.207788994,0.00209609803,0.00548210255,2.91681375,0.0867462109,0.0224098217,0.000853800376,0.0222508868,0,0,0.185714286,13.7323,0.230370487,53.9693,0.269369917,1.63638913,0.255206124,0.868934244,0.0694634684,0.220035711,13.4459,0.234179642,77.8246,0.473421904,0.420839497,0.223264655,0.596743095,0.71842038
5149233,2.34823e+06,17.515,16.2201,0,1,20.0000,0.010000,140,6202,0.0225733634,0.0372460497,0.0501451145,3.81451117,0.0428571429,0,0.0428571429,0,0.30785768,0.0385705365,0.186046512,0,0,0.207788994,0.00209609803,0.00548210255,2.91681375,0.0867462109,0.0224098217,0.000853800376,0.0222508868,0,0,0.185714286,13.7323,0.230370487,53.9693,0.269369917,1.63638913,0.255206124,0.868934244,0.0694634684,0.220035711,13.4459,0.234179642,77.8246,0.473421904,0.420839497,0.223264655,0.596743095,0.71842038
5149233,794072,5.995,6.01068,0,1,30.0000,0.010000,140,6202,0.0225733634,0.0372460497,0.0501451145,3.81451117,0.0428571429,0,0.0428571429,0,0.30785768,0.0385705365,0.186046512,0,0,0.207788994,0.00209609803,0.00548210255,2.91681375,0.0867462109,0.0224098217,0.000853800376,0.0222508868,0,0,0.185714286,13.7323,0.230370487,53.9693,0.269369917,1.63638913,0.255206124,0.868934244,0.0694634684,0.220035711,13.4459,0.234179642,77.8246,0.473421904,0.420839497,0.223264655,0.596743095,0.71842038
5149233,1.10288e+06,8.255,8.42544,0,1,40.0000,0.010000,140,6202,0.0225733634,0.0372460497,0.0501451145,3.81451117,0.0428571429,0,0.0428571429,0,0.30785768,0.0385705365,0.186046512,0,0,0.207788994,0.00209609803,0.00548210255,2.91681375,0.0867462109,0.0224098217,0.000853800376,0.0222508868,0,0,0.185714286,13.7323,0.230370487,53.9693,0.269369917,1.63638913,0.255206124,0.868934244,0.0694634684,0.220035711,13.4459,0.234179642,77.8246,0.473421904,0.420839497,0.223264655,0.596743095,0.71842038
5149233,3.94058e+06,29.715,27.8744,0,1,50.0000,0.010000,140,6202,0.0225733634,0.0372460497,0.0501451145,3.81451117,0.0428571429,0,0.0428571429,0,0.30785768,0.0385705365,0.186046512,0,0,0.207788994,0.00209609803,0.00548210255,2.91681375,0.0867462109,0.0224098217,0.000853800376,0.0222508868,0,0,0.185714286,13.7323,0.230370487,53.9693,0.269369917,1.63638913,0.255206124,0.868934244,0.0694634684,0.220035711,13.4459,0.234179642,77.8246,0.473421904,0.420839497,0.223264655,0.596743095,0.71842038
5149233,1.5455e+07,116.425,116.37,0,1,60.0000,0.010000,140,6202,0.0225733634,0.0372460497,0.0501451145,3.81451117,0.0428571429,0,0.0428571429,0,0.30785768,0.0385705365,0.186046512,0,0,0.207788994,0.00209609803,0.00548210255,2.91681375,0.0867462109,0.0224098217,0.000853800376,0.0222508868,0,0,0.185714286,13.7323,0.230370487,53.9693,0.269369917,1.63638913,0.255206124,0.868934244,0.0694634684,0.220035711,13.4459,0.234179642,77.8246,0.473421904,0.420839497,0.223264655,0.596743095,0.71842038
5150536,2.02959e+07,12.73,12.7843,0,1,10.0000,0.010000,500,2000,0.25,0.0015,0.0135,2.62632679,0.006,0,0.006,0,0.503666667,0.182053901,1,0,1,0.412651118,0,0.0075,2.31321147,0.5035,0.011724,0.281665413,0.003,0,0.002,0.24,14.4403,0.32148106,280.6889,0.228709024,0.879363298,0.214047803,0.851213534,0.0360394509,0.347299515,12.2248,0.279417316,836.4277,0.344091798,0.377355267,0.382168503,0.3318788,0.580268034
5150536,352902,0.235,0.224292,0,1,20.0000,0.010000,500,2000,0.25,0.0015,0.0135,2.62632679,0.006,0,0.006,0,0.503666667,0.182053901,1,0,1,0.412651118,0,0.0075,2.31321147,0.5035,0.011724,0.281665413,0.003,0,0.002,0.24,14.4403,0.32148106,280.6889,0.228709024,0.879363298,0.214047803,0.851213534,0.0360394509,0.347299515,12.2248,0.279417316,836.4277,0.344091798,0.377355267,0.382168503,0.3318788,0.580268034
